Data,Fajr_Begins,Fajr_Jamah,Sunrise,Zuhr_Begins,Zuhr_Jamah,Asr_Begins,Asr_Jamah,Maghrib_Begins,Maghrib_Jamah,Isha_Begins,Isha_Jamah,City Name
"4 marzo 2026, mercoledì",5:31:00,5:31:00,7:01:00,12:53:30,12:53:30,15:42:15,15:42:15,18:22:00,18:22:00,19:52:00,19:52:00,biella
"5 marzo 2026, giovedì",5:30:00,5:30:00,7:00:00,12:54:00,12:54:00,15:43:30,15:43:30,18:24:00,18:24:00,19:54:00,19:54:00,biella
"6 marzo 2026, venerdì",5:28:00,5:28:00,6:58:00,12:54:00,12:54:00,15:44:30,15:44:30,18:25:00,18:25:00,19:55:00,19:55:00,biella
"7 marzo 2026, sabato",5:26:00,5:26:00,6:56:00,12:53:30,12:53:30,15:44:45,15:44:45,18:26:00,18:26:00,19:56:00,19:56:00,biella
"8 marzo 2026, domenica",5:24:00,5:24:00,6:54:00,12:53:00,12:53:00,15:45:00,15:45:00,18:28:00,18:28:00,19:58:00,19:58:00,biella
"9 marzo 2026, lunedì",5:22:00,5:22:00,6:52:00,12:52:30,12:52:30,15:45:15,15:45:15,18:29:00,18:29:00,19:59:00,19:59:00,biella
"10 marzo 2026, martedì",5:21:00,5:21:00,6:51:00,12:53:00,12:53:00,15:46:30,15:46:30,18:30:00,18:30:00,20:00:00,20:00:00,biella
"11 marzo 2026, mercoledì",5:19:00,5:19:00,6:49:00,12:53:00,12:53:00,15:47:30,15:47:30,18:32:00,18:32:00,20:02:00,20:02:00,biella
"12 marzo 2026, giovedì",5:17:00,5:17:00,6:47:00,12:52:30,12:52:30,15:47:45,15:47:45,18:33:00,18:33:00,20:03:00,20:03:00,biella
"13 marzo 2026, venerdì",5:15:00,5:15:00,6:45:00,12:52:00,12:52:00,15:48:00,15:48:00,18:34:00,18:34:00,20:04:00,20:04:00,biella
"14 marzo 2026, sabato",5:13:00,5:13:00,6:43:00,12:51:30,12:51:30,15:48:15,15:48:15,18:36:00,18:36:00,20:06:00,20:06:00,biella
"15 marzo 2026, domenica",5:11:00,5:11:00,6:41:00,12:51:00,12:51:00,15:48:30,15:48:30,18:37:00,18:37:00,20:07:00,20:07:00,biella
"16 marzo 2026, lunedì",5:09:00,5:09:00,6:39:00,12:51:00,12:51:00,15:49:30,15:49:30,18:38:00,18:38:00,20:08:00,20:08:00,biella
"17 marzo 2026, martedì",5:07:00,5:07:00,6:37:00,12:50:30,12:50:30,15:49:45,15:49:45,18:40:00,18:40:00,20:10:00,20:10:00,biella
"18 marzo 2026, mercoledì",5:05:00,5:05:00,6:35:00,12:50:00,12:50:00,15:50:00,15:50:00,18:41:00,18:41:00,20:11:00,20:11:00,biella
"19 marzo 2026, giovedì",5:04:00,5:04:00,6:34:00,12:50:30,12:50:30,15:51:15,15:51:15,18:42:00,18:42:00,20:12:00,20:12:00,biella
"19 febbraio 2026, giovedì",5:39:00,5:39:00,7:09:00,12:43:00,12:43:00,15:22:30,15:22:30,17:52:00,17:52:00,19:22:00,19:22:00,bologna
"20 febbraio 2026, venerdì",5:38:00,5:38:00,7:08:00,12:43:30,12:43:30,15:23:45,15:23:45,17:54:00,17:54:00,19:24:00,19:24:00,bologna
"21 febbraio 2026, sabato",5:36:00,5:36:00,7:06:00,12:43:00,12:43:00,15:24:00,15:24:00,17:55:00,17:55:00,19:25:00,19:25:00,bologna
"22 febbraio 2026, domenica",5:34:00,5:34:00,7:04:00,12:42:30,12:42:30,15:24:15,15:24:15,17:57:00,17:57:00,19:27:00,19:27:00,bologna
"23 febbraio 2026, lunedì",5:33:00,5:33:00,7:03:00,12:43:00,12:43:00,15:25:30,15:25:30,17:58:00,17:58:00,19:28:00,19:28:00,bologna
"24 febbraio 2026, martedì",5:31:00,5:31:00,7:01:00,12:42:30,12:42:30,15:25:45,15:25:45,17:59:00,17:59:00,19:29:00,19:29:00,bologna
"25 febbraio 2026, mercoledì",5:29:00,5:29:00,6:59:00,12:42:00,12:42:00,15:26:00,15:26:00,18:01:00,18:01:00,19:31:00,19:31:00,bologna
"26 febbraio 2026, giovedì",5:28:00,5:28:00,6:58:00,12:42:30,12:42:30,15:27:15,15:27:15,18:02:00,18:02:00,19:32:00,19:32:00,bologna
"27 febbraio 2026, venerdì",5:26:00,5:26:00,6:56:00,12:42:00,12:42:00,15:27:30,15:27:30,18:03:00,18:03:00,19:33:00,19:33:00,bologna
"28 febbraio 2026, sabato",5:24:00,5:24:00,6:54:00,12:41:30,12:41:30,15:27:45,15:27:45,18:05:00,18:05:00,19:35:00,19:35:00,bologna
"1 marzo 2026, domenica",5:23:00,5:23:00,6:53:00,12:42:00,12:42:00,15:29:00,15:29:00,18:06:00,18:06:00,19:36:00,19:36:00,bologna
"2 marzo 2026, lunedì",5:21:00,5:21:00,6:51:00,12:41:30,12:41:30,15:29:15,15:29:15,18:07:00,18:07:00,19:37:00,19:37:00,bologna
"3 marzo 2026, martedì",5:19:00,5:19:00,6:49:00,12:41:00,12:41:00,15:29:30,15:29:30,18:09:00,18:09:00,19:39:00,19:39:00,bologna
"4 marzo 2026, mercoledì",5:17:00,5:17:00,6:47:00,12:40:30,12:40:30,15:29:45,15:29:45,18:10:00,18:10:00,19:40:00,19:40:00,bologna
"5 marzo 2026, giovedì",5:16:00,5:16:00,6:46:00,12:41:00,12:41:00,15:31:00,15:31:00,18:11:00,18:11:00,19:41:00,19:41:00,bologna
"6 marzo 2026, venerdì",5:14:00,5:14:00,6:44:00,12:40:30,12:40:30,15:31:15,15:31:15,18:13:00,18:13:00,19:43:00,19:43:00,bologna
"7 marzo 2026, sabato",5:12:00,5:12:00,6:42:00,12:40:00,12:40:00,15:31:30,15:31:30,18:14:00,18:14:00,19:44:00,19:44:00,bologna
"8 marzo 2026, domenica",5:10:00,5:10:00,6:40:00,12:39:30,12:39:30,15:31:45,15:31:45,18:15:00,18:15:00,19:45:00,19:45:00,bologna
"9 marzo 2026, lunedì",5:09:00,5:09:00,6:39:00,12:40:00,12:40:00,15:33:00,15:33:00,18:16:00,18:16:00,19:46:00,19:46:00,bologna
"10 marzo 2026, martedì",5:07:00,5:07:00,6:37:00,12:39:30,12:39:30,15:33:15,15:33:15,18:18:00,18:18:00,19:48:00,19:48:00,bologna
"11 marzo 2026, mercoledì",5:05:00,5:05:00,6:35:00,12:39:00,12:39:00,15:33:30,15:33:30,18:19:00,18:19:00,19:49:00,19:49:00,bologna
"12 marzo 2026, giovedì",5:03:00,5:03:00,6:33:00,12:39:00,12:39:00,15:34:30,15:34:30,18:20:00,18:20:00,19:50:00,19:50:00,bologna
"13 marzo 2026, venerdì",5:01:00,5:01:00,6:31:00,12:38:30,12:38:30,15:34:45,15:34:45,18:22:00,18:22:00,19:52:00,19:52:00,bologna
"14 marzo 2026, sabato",5:00:00,5:00:00,6:30:00,12:39:00,12:39:00,15:36:00,15:36:00,18:23:00,18:23:00,19:53:00,19:53:00,bologna
"15 marzo 2026, domenica",4:58:00,4:58:00,6:28:00,12:38:30,12:38:30,15:36:15,15:36:15,18:24:00,18:24:00,19:54:00,19:54:00,bologna
"16 marzo 2026, lunedì",4:56:00,4:56:00,6:26:00,12:38:00,12:38:00,15:36:30,15:36:30,18:25:00,18:25:00,19:55:00,19:55:00,bologna
"17 marzo 2026, martedì",4:54:00,4:54:00,6:24:00,12:37:30,12:37:30,15:36:45,15:36:45,18:27:00,18:27:00,19:57:00,19:57:00,bologna
"18 marzo 2026, mercoledì",4:52:00,4:52:00,6:22:00,12:37:00,12:37:00,15:37:00,15:37:00,18:28:00,18:28:00,19:58:00,19:58:00,bologna
"19 marzo 2026, giovedì",4:50:00,4:50:00,6:20:00,12:36:30,12:36:30,15:37:15,15:37:15,18:29:00,18:29:00,19:59:00,19:59:00,bologna
"19 febbraio 2026, giovedì",5:45:00,5:45:00,7:15:00,12:47:30,12:47:30,15:26:15,15:26:15,17:55:00,17:55:00,19:25:00,19:25:00,brescia
"20 febbraio 2026, venerdì",5:43:00,5:43:00,7:13:00,12:47:00,12:47:00,15:26:30,15:26:30,17:57:00,17:57:00,19:27:00,19:27:00,brescia
"21 febbraio 2026, sabato",5:42:00,5:42:00,7:12:00,12:47:30,12:47:30,15:27:45,15:27:45,17:58:00,17:58:00,19:28:00,19:28:00,brescia
"22 febbraio 2026, domenica",5:40:00,5:40:00,7:10:00,12:47:00,12:47:00,15:28:00,15:28:00,18:00:00,18:00:00,19:30:00,19:30:00,brescia
"23 febbraio 2026, lunedì",5:38:00,5:38:00,7:08:00,12:46:30,12:46:30,15:28:15,15:28:15,18:01:00,18:01:00,19:31:00,19:31:00,brescia
"24 febbraio 2026, martedì",5:37:00,5:37:00,7:07:00,12:47:00,12:47:00,15:29:30,15:29:30,18:02:00,18:02:00,19:32:00,19:32:00,brescia
"25 febbraio 2026, mercoledì",5:35:00,5:35:00,7:05:00,12:46:30,12:46:30,15:29:45,15:29:45,18:04:00,18:04:00,19:34:00,19:34:00,brescia
"26 febbraio 2026, giovedì",5:33:00,5:33:00,7:03:00,12:46:00,12:46:00,15:30:00,15:30:00,18:05:00,18:05:00,19:35:00,19:35:00,brescia
"27 febbraio 2026, venerdì",5:32:00,5:32:00,7:02:00,12:46:30,12:46:30,15:31:15,15:31:15,18:07:00,18:07:00,19:37:00,19:37:00,brescia
"28 febbraio 2026, sabato",5:30:00,5:30:00,7:00:00,12:46:30,12:46:30,15:32:15,15:32:15,18:08:00,18:08:00,19:38:00,19:38:00,brescia
"1 marzo 2026, domenica",5:28:00,5:28:00,6:58:00,12:46:00,12:46:00,15:32:30,15:32:30,18:09:00,18:09:00,19:39:00,19:39:00,brescia
"2 marzo 2026, lunedì",5:26:00,5:26:00,6:56:00,12:45:30,12:45:30,15:32:45,15:32:45,18:11:00,18:11:00,19:41:00,19:41:00,brescia
"3 marzo 2026, martedì",5:25:00,5:25:00,6:55:00,12:46:00,12:46:00,15:34:00,15:34:00,18:12:00,18:12:00,19:42:00,19:42:00,brescia
"4 marzo 2026, mercoledì",5:23:00,5:23:00,6:53:00,12:45:30,12:45:30,15:34:15,15:34:15,18:14:00,18:14:00,19:44:00,19:44:00,brescia
"5 marzo 2026, giovedì",5:21:00,5:21:00,6:51:00,12:45:00,12:45:00,15:34:30,15:34:30,18:15:00,18:15:00,19:45:00,19:45:00,brescia
"6 marzo 2026, venerdì",5:19:00,5:19:00,6:49:00,12:45:00,12:45:00,15:35:30,15:35:30,18:16:00,18:16:00,19:46:00,19:46:00,brescia
"7 marzo 2026, sabato",5:17:00,5:17:00,6:47:00,12:44:30,12:44:30,15:35:45,15:35:45,18:18:00,18:18:00,19:48:00,19:48:00,brescia
"8 marzo 2026, domenica",5:15:00,5:15:00,6:45:00,12:44:00,12:44:00,15:36:00,15:36:00,18:19:00,18:19:00,19:49:00,19:49:00,brescia
"9 marzo 2026, lunedì",5:14:00,5:14:00,6:44:00,12:44:30,12:44:30,15:37:15,15:37:15,18:20:00,18:20:00,19:50:00,19:50:00,brescia
"10 marzo 2026, martedì",5:12:00,5:12:00,6:42:00,12:44:00,12:44:00,15:37:30,15:37:30,18:22:00,18:22:00,19:52:00,19:52:00,brescia
"11 marzo 2026, mercoledì",5:10:00,5:10:00,6:40:00,12:44:00,12:44:00,15:38:30,15:38:30,18:23:00,18:23:00,19:53:00,19:53:00,brescia
"12 marzo 2026, giovedì",5:08:00,5:08:00,6:38:00,12:43:30,12:43:30,15:38:45,15:38:45,18:24:00,18:24:00,19:54:00,19:54:00,brescia
"13 marzo 2026, venerdì",5:06:00,5:06:00,6:36:00,12:43:00,12:43:00,15:39:00,15:39:00,18:26:00,18:26:00,19:56:00,19:56:00,brescia
"14 marzo 2026, sabato",5:04:00,5:04:00,6:34:00,12:42:30,12:42:30,15:39:15,15:39:15,18:27:00,18:27:00,19:57:00,19:57:00,brescia
"15 marzo 2026, domenica",5:02:00,5:02:00,6:32:00,12:42:00,12:42:00,15:39:30,15:39:30,18:28:00,18:28:00,19:58:00,19:58:00,brescia
"16 marzo 2026, lunedì",5:01:00,5:01:00,6:31:00,12:43:00,12:43:00,15:41:30,15:41:30,18:30:00,18:30:00,20:00:00,20:00:00,brescia
"17 marzo 2026, martedì",4:59:00,4:59:00,6:29:00,12:42:30,12:42:30,15:41:45,15:41:45,18:31:00,18:31:00,20:01:00,20:01:00,brescia
"18 marzo 2026, mercoledì",4:57:00,4:57:00,6:27:00,12:42:00,12:42:00,15:42:00,15:42:00,18:32:00,18:32:00,20:02:00,20:02:00,brescia
"19 marzo 2026, giovedì",4:55:00,4:55:00,6:25:00,12:41:30,12:41:30,15:42:15,15:42:15,18:34:00,18:34:00,20:04:00,20:04:00,brescia
"19 febbraio 2026, giovedì",5:40:00,5:40:00,7:10:00,12:40:30,12:40:30,15:18:15,15:18:15,17:46:00,17:46:00,19:16:00,19:16:00,brunico
"20 febbraio 2026, venerdì",5:39:00,5:39:00,7:09:00,12:41:00,12:41:00,15:19:30,15:19:30,17:48:00,17:48:00,19:18:00,19:18:00,brunico
"21 febbraio 2026, sabato",5:37:00,5:37:00,7:07:00,12:40:30,12:40:30,15:19:45,15:19:45,17:49:00,17:49:00,19:19:00,19:19:00,brunico
"22 febbraio 2026, domenica",5:35:00,5:35:00,7:05:00,12:40:00,12:40:00,15:20:00,15:20:00,17:51:00,17:51:00,19:21:00,19:21:00,brunico
"23 febbraio 2026, lunedì",5:33:00,5:33:00,7:03:00,12:40:00,12:40:00,15:21:00,15:21:00,17:52:00,17:52:00,19:22:00,19:22:00,brunico
"24 febbraio 2026, martedì",5:32:00,5:32:00,7:02:00,12:40:30,12:40:30,15:22:15,15:22:15,17:54:00,17:54:00,19:24:00,19:24:00,brunico
"25 febbraio 2026, mercoledì",5:30:00,5:30:00,7:00:00,12:40:00,12:40:00,15:22:30,15:22:30,17:55:00,17:55:00,19:25:00,19:25:00,brunico
"26 febbraio 2026, giovedì",5:28:00,5:28:00,6:58:00,12:39:30,12:39:30,15:22:45,15:22:45,17:57:00,17:57:00,19:27:00,19:27:00,brunico
"27 febbraio 2026, venerdì",5:26:00,5:26:00,6:56:00,12:39:30,12:39:30,15:23:45,15:23:45,17:58:00,17:58:00,19:28:00,19:28:00,brunico
"28 febbraio 2026, sabato",5:24:00,5:24:00,6:54:00,12:39:00,12:39:00,15:24:00,15:24:00,18:00:00,18:00:00,19:30:00,19:30:00,brunico
"1 marzo 2026, domenica",5:23:00,5:23:00,6:53:00,12:39:30,12:39:30,15:25:15,15:25:15,18:01:00,18:01:00,19:31:00,19:31:00,brunico
"2 marzo 2026, lunedì",5:21:00,5:21:00,6:51:00,12:39:00,12:39:00,15:25:30,15:25:30,18:03:00,18:03:00,19:33:00,19:33:00,brunico
"3 marzo 2026, martedì",5:19:00,5:19:00,6:49:00,12:39:00,12:39:00,15:26:30,15:26:30,18:04:00,18:04:00,19:34:00,19:34:00,brunico
"4 marzo 2026, mercoledì",5:17:00,5:17:00,6:47:00,12:38:30,12:38:30,15:26:45,15:26:45,18:06:00,18:06:00,19:36:00,19:36:00,brunico
"5 marzo 2026, giovedì",5:15:00,5:15:00,6:45:00,12:38:00,12:38:00,15:27:00,15:27:00,18:07:00,18:07:00,19:37:00,19:37:00,brunico
"6 marzo 2026, venerdì",5:13:00,5:13:00,6:43:00,12:38:00,12:38:00,15:28:00,15:28:00,18:09:00,18:09:00,19:39:00,19:39:00,brunico
"7 marzo 2026, sabato",5:11:00,5:11:00,6:41:00,12:37:30,12:37:30,15:28:15,15:28:15,18:10:00,18:10:00,19:40:00,19:40:00,brunico
"8 marzo 2026, domenica",5:09:00,5:09:00,6:39:00,12:37:00,12:37:00,15:28:30,15:28:30,18:11:00,18:11:00,19:41:00,19:41:00,brunico
"9 marzo 2026, lunedì",5:08:00,5:08:00,6:38:00,12:38:00,12:38:00,15:30:30,15:30:30,18:13:00,18:13:00,19:43:00,19:43:00,brunico
"10 marzo 2026, martedì",5:06:00,5:06:00,6:36:00,12:37:30,12:37:30,15:30:45,15:30:45,18:14:00,18:14:00,19:44:00,19:44:00,brunico
"11 marzo 2026, mercoledì",5:04:00,5:04:00,6:34:00,12:37:00,12:37:00,15:31:00,15:31:00,18:16:00,18:16:00,19:46:00,19:46:00,brunico
"12 marzo 2026, giovedì",5:02:00,5:02:00,6:32:00,12:37:00,12:37:00,15:32:00,15:32:00,18:17:00,18:17:00,19:47:00,19:47:00,brunico
"13 marzo 2026, venerdì",5:00:00,5:00:00,6:30:00,12:36:30,12:36:30,15:32:15,15:32:15,18:18:00,18:18:00,19:48:00,19:48:00,brunico
"14 marzo 2026, sabato",4:58:00,4:58:00,6:28:00,12:36:30,12:36:30,15:33:15,15:33:15,18:20:00,18:20:00,19:50:00,19:50:00,brunico
"15 marzo 2026, domenica",4:56:00,4:56:00,6:26:00,12:36:00,12:36:00,15:33:30,15:33:30,18:21:00,18:21:00,19:51:00,19:51:00,brunico
"16 marzo 2026, lunedì",4:54:00,4:54:00,6:24:00,12:35:30,12:35:30,15:33:45,15:33:45,18:23:00,18:23:00,19:53:00,19:53:00,brunico
"17 marzo 2026, martedì",4:52:00,4:52:00,6:22:00,12:35:30,12:35:30,15:34:45,15:34:45,18:24:00,18:24:00,19:54:00,19:54:00,brunico
"18 marzo 2026, mercoledì",4:50:00,4:50:00,6:20:00,12:35:00,12:35:00,15:35:00,15:35:00,18:25:00,18:25:00,19:55:00,19:55:00,brunico
"19 marzo 2026, giovedì",4:48:00,4:48:00,6:18:00,12:34:30,12:34:30,15:35:15,15:35:15,18:27:00,18:27:00,19:57:00,19:57:00,brunico
"19 febbraio 2026, giovedì",5:51:00,5:51:00,7:21:00,12:53:00,12:53:00,15:31:30,15:31:30,18:01:00,18:01:00,19:31:00,19:31:00,busto arsizio
"20 febbraio 2026, venerdì",5:49:00,5:49:00,7:19:00,12:53:00,12:53:00,15:32:30,15:32:30,18:02:00,18:02:00,19:32:00,19:32:00,busto arsizio
"21 febbraio 2026, sabato",5:47:00,5:47:00,7:17:00,12:52:30,12:52:30,15:32:45,15:32:45,18:04:00,18:04:00,19:34:00,19:34:00,busto arsizio
"22 febbraio 2026, domenica",5:46:00,5:46:00,7:16:00,12:53:00,12:53:00,15:34:00,15:34:00,18:05:00,18:05:00,19:35:00,19:35:00,busto arsizio
"23 febbraio 2026, lunedì",5:44:00,5:44:00,7:14:00,12:52:30,12:52:30,15:34:15,15:34:15,18:06:00,18:06:00,19:36:00,19:36:00,busto arsizio
"24 febbraio 2026, martedì",5:42:00,5:42:00,7:12:00,12:52:00,12:52:00,15:34:30,15:34:30,18:08:00,18:08:00,19:38:00,19:38:00,busto arsizio
"25 febbraio 2026, mercoledì",5:41:00,5:41:00,7:11:00,12:52:30,12:52:30,15:35:45,15:35:45,18:09:00,18:09:00,19:39:00,19:39:00,busto arsizio
"26 febbraio 2026, giovedì",5:39:00,5:39:00,7:09:00,12:52:00,12:52:00,15:36:00,15:36:00,18:11:00,18:11:00,19:41:00,19:41:00,busto arsizio
"27 febbraio 2026, venerdì",5:37:00,5:37:00,7:07:00,12:51:30,12:51:30,15:36:15,15:36:15,18:12:00,18:12:00,19:42:00,19:42:00,busto arsizio
"28 febbraio 2026, sabato",5:35:00,5:35:00,7:05:00,12:51:00,12:51:00,15:36:30,15:36:30,18:13:00,18:13:00,19:43:00,19:43:00,busto arsizio
"1 marzo 2026, domenica",5:34:00,5:34:00,7:04:00,12:52:00,12:52:00,15:38:30,15:38:30,18:15:00,18:15:00,19:45:00,19:45:00,busto arsizio
"2 marzo 2026, lunedì",5:32:00,5:32:00,7:02:00,12:51:30,12:51:30,15:38:45,15:38:45,18:16:00,18:16:00,19:46:00,19:46:00,busto arsizio
"3 marzo 2026, martedì",5:30:00,5:30:00,7:00:00,12:51:00,12:51:00,15:39:00,15:39:00,18:18:00,18:18:00,19:48:00,19:48:00,busto arsizio
"4 marzo 2026, mercoledì",5:28:00,5:28:00,6:58:00,12:50:30,12:50:30,15:39:15,15:39:15,18:19:00,18:19:00,19:49:00,19:49:00,busto arsizio
"5 marzo 2026, giovedì",5:27:00,5:27:00,6:57:00,12:51:00,12:51:00,15:40:30,15:40:30,18:20:00,18:20:00,19:50:00,19:50:00,busto arsizio
"6 marzo 2026, venerdì",5:25:00,5:25:00,6:55:00,12:51:00,12:51:00,15:41:30,15:41:30,18:22:00,18:22:00,19:52:00,19:52:00,busto arsizio
"7 marzo 2026, sabato",5:23:00,5:23:00,6:53:00,12:50:30,12:50:30,15:41:45,15:41:45,18:23:00,18:23:00,19:53:00,19:53:00,busto arsizio
"8 marzo 2026, domenica",5:21:00,5:21:00,6:51:00,12:50:00,12:50:00,15:42:00,15:42:00,18:24:00,18:24:00,19:54:00,19:54:00,busto arsizio
"9 marzo 2026, lunedì",5:19:00,5:19:00,6:49:00,12:49:30,12:49:30,15:42:15,15:42:15,18:26:00,18:26:00,19:56:00,19:56:00,busto arsizio
"10 marzo 2026, martedì",5:17:00,5:17:00,6:47:00,12:49:00,12:49:00,15:42:30,15:42:30,18:27:00,18:27:00,19:57:00,19:57:00,busto arsizio
"11 marzo 2026, mercoledì",5:15:00,5:15:00,6:45:00,12:49:00,12:49:00,15:43:30,15:43:30,18:28:00,18:28:00,19:58:00,19:58:00,busto arsizio
"12 marzo 2026, giovedì",5:14:00,5:14:00,6:44:00,12:49:30,12:49:30,15:44:45,15:44:45,18:30:00,18:30:00,20:00:00,20:00:00,busto arsizio
"13 marzo 2026, venerdì",5:12:00,5:12:00,6:42:00,12:49:00,12:49:00,15:45:00,15:45:00,18:31:00,18:31:00,20:01:00,20:01:00,busto arsizio
"14 marzo 2026, sabato",5:10:00,5:10:00,6:40:00,12:48:30,12:48:30,15:45:15,15:45:15,18:33:00,18:33:00,20:03:00,20:03:00,busto arsizio
"15 marzo 2026, domenica",5:08:00,5:08:00,6:38:00,12:48:00,12:48:00,15:45:30,15:45:30,18:34:00,18:34:00,20:04:00,20:04:00,busto arsizio
"16 marzo 2026, lunedì",5:06:00,5:06:00,6:36:00,12:48:00,12:48:00,15:46:30,15:46:30,18:35:00,18:35:00,20:05:00,20:05:00,busto arsizio
"17 marzo 2026, martedì",5:04:00,5:04:00,6:34:00,12:47:30,12:47:30,15:46:45,15:46:45,18:37:00,18:37:00,20:07:00,20:07:00,busto arsizio
"18 marzo 2026, mercoledì",5:02:00,5:02:00,6:32:00,12:47:00,12:47:00,15:47:00,15:47:00,18:38:00,18:38:00,20:08:00,20:08:00,busto arsizio
"19 marzo 2026, giovedì",5:00:00,5:00:00,6:30:00,12:46:30,12:46:30,15:47:15,15:47:15,18:39:00,18:39:00,20:09:00,20:09:00,busto arsizio
"19 febbraio 2026, giovedì",5:40:00,5:40:00,7:10:00,12:40:00,12:40:00,15:17:30,15:17:30,17:46:00,17:46:00,19:16:00,19:16:00,campo tures
"20 febbraio 2026, venerdì",5:39:00,5:39:00,7:09:00,12:41:00,12:41:00,15:19:30,15:19:30,17:48:00,17:48:00,19:18:00,19:18:00,campo tures
"21 febbraio 2026, sabato",5:37:00,5:37:00,7:07:00,12:40:30,12:40:30,15:19:45,15:19:45,17:49:00,17:49:00,19:19:00,19:19:00,campo tures
"22 febbraio 2026, domenica",5:35:00,5:35:00,7:05:00,12:40:00,12:40:00,15:20:00,15:20:00,17:51:00,17:51:00,19:21:00,19:21:00,campo tures
"23 febbraio 2026, lunedì",5:34:00,5:34:00,7:04:00,12:40:30,12:40:30,15:21:15,15:21:15,17:52:00,17:52:00,19:22:00,19:22:00,campo tures
"24 febbraio 2026, martedì",5:32:00,5:32:00,7:02:00,12:40:00,12:40:00,15:21:30,15:21:30,17:54:00,17:54:00,19:24:00,19:24:00,campo tures
"25 febbraio 2026, mercoledì",5:30:00,5:30:00,7:00:00,12:40:00,12:40:00,15:22:30,15:22:30,17:55:00,17:55:00,19:25:00,19:25:00,campo tures
"26 febbraio 2026, giovedì",5:28:00,5:28:00,6:58:00,12:39:30,12:39:30,15:22:45,15:22:45,17:57:00,17:57:00,19:27:00,19:27:00,campo tures
"27 febbraio 2026, venerdì",5:26:00,5:26:00,6:56:00,12:39:00,12:39:00,15:23:00,15:23:00,17:58:00,17:58:00,19:28:00,19:28:00,campo tures
"28 febbraio 2026, sabato",5:24:00,5:24:00,6:54:00,12:39:00,12:39:00,15:24:00,15:24:00,18:00:00,18:00:00,19:30:00,19:30:00,campo tures
"1 marzo 2026, domenica",5:23:00,5:23:00,6:53:00,12:39:30,12:39:30,15:25:15,15:25:15,18:01:00,18:01:00,19:31:00,19:31:00,campo tures
"2 marzo 2026, lunedì",5:21:00,5:21:00,6:51:00,12:39:00,12:39:00,15:25:30,15:25:30,18:03:00,18:03:00,19:33:00,19:33:00,campo tures
"3 marzo 2026, martedì",5:19:00,5:19:00,6:49:00,12:39:00,12:39:00,15:26:30,15:26:30,18:04:00,18:04:00,19:34:00,19:34:00,campo tures
"4 marzo 2026, mercoledì",5:17:00,5:17:00,6:47:00,12:38:30,12:38:30,15:26:45,15:26:45,18:05:00,18:05:00,19:35:00,19:35:00,campo tures
"5 marzo 2026, giovedì",5:15:00,5:15:00,6:45:00,12:38:00,12:38:00,15:27:00,15:27:00,18:07:00,18:07:00,19:37:00,19:37:00,campo tures
"6 marzo 2026, venerdì",5:13:00,5:13:00,6:43:00,12:38:00,12:38:00,15:28:00,15:28:00,18:08:00,18:08:00,19:38:00,19:38:00,campo tures
"7 marzo 2026, sabato",5:11:00,5:11:00,6:41:00,12:37:30,12:37:30,15:28:15,15:28:15,18:10:00,18:10:00,19:40:00,19:40:00,campo tures
"8 marzo 2026, domenica",5:09:00,5:09:00,6:39:00,12:37:00,12:37:00,15:28:30,15:28:30,18:11:00,18:11:00,19:41:00,19:41:00,campo tures
"9 marzo 2026, lunedì",5:08:00,5:08:00,6:38:00,12:38:00,12:38:00,15:30:30,15:30:30,18:13:00,18:13:00,19:43:00,19:43:00,campo tures
"10 marzo 2026, martedì",5:06:00,5:06:00,6:36:00,12:37:30,12:37:30,15:30:45,15:30:45,18:14:00,18:14:00,19:44:00,19:44:00,campo tures
"11 marzo 2026, mercoledì",5:04:00,5:04:00,6:34:00,12:37:00,12:37:00,15:31:00,15:31:00,18:16:00,18:16:00,19:46:00,19:46:00,campo tures
"12 marzo 2026, giovedì",5:02:00,5:02:00,6:32:00,12:37:00,12:37:00,15:32:00,15:32:00,18:17:00,18:17:00,19:47:00,19:47:00,campo tures
"13 marzo 2026, venerdì",5:00:00,5:00:00,6:30:00,12:36:30,12:36:30,15:32:15,15:32:15,18:18:00,18:18:00,19:48:00,19:48:00,campo tures
"14 marzo 2026, sabato",4:58:00,4:58:00,6:28:00,12:36:00,12:36:00,15:32:30,15:32:30,18:20:00,18:20:00,19:50:00,19:50:00,campo tures
"15 marzo 2026, domenica",4:56:00,4:56:00,6:26:00,12:36:00,12:36:00,15:33:30,15:33:30,18:21:00,18:21:00,19:51:00,19:51:00,campo tures
"16 marzo 2026, lunedì",4:54:00,4:54:00,6:24:00,12:35:30,12:35:30,15:33:45,15:33:45,18:23:00,18:23:00,19:53:00,19:53:00,campo tures
"17 marzo 2026, martedì",4:52:00,4:52:00,6:22:00,12:35:30,12:35:30,15:34:45,15:34:45,18:24:00,18:24:00,19:54:00,19:54:00,campo tures
"18 marzo 2026, mercoledì",4:50:00,4:50:00,6:20:00,12:35:00,12:35:00,15:35:00,15:35:00,18:25:00,18:25:00,19:55:00,19:55:00,campo tures
"19 marzo 2026, giovedì",4:48:00,4:48:00,6:18:00,12:34:30,12:34:30,15:35:15,15:35:15,18:27:00,18:27:00,19:57:00,19:57:00,campo tures
"19 febbraio 2026, giovedì",5:15:00,5:15:00,6:45:00,12:28:30,12:28:30,15:12:45,15:12:45,17:47:00,17:47:00,19:17:00,19:17:00,catania
